P,bits,policy,seed,storage,auc,tpr_at_fpr,signal_mean,signal_std,noise_mean,noise_std,peak_count,bits_needed,overflowed
500,4,scale,3,ap_int<4>,0.998453,0.992,783.54,182.938,5.148,180.92,88,8,1
500,4,scale,4,ap_int<4>,0.999212,0.998,844.632,193.66,-5.324,186.318,84,8,1
500,8,wrap,0,ap_int<8>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,8,wrap,1,ap_int<8>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,8,wrap,2,ap_int<8>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,8,wrap,3,ap_int<8>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,8,wrap,4,ap_int<8>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,8,saturate,0,ap_int<8>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,8,saturate,1,ap_int<8>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,8,saturate,2,ap_int<8>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,8,saturate,3,ap_int<8>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,8,saturate,4,ap_int<8>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,8,scale,0,ap_int<8>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,8,scale,1,ap_int<8>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,8,scale,2,ap_int<8>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,8,scale,3,ap_int<8>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,8,scale,4,ap_int<8>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,16,wrap,0,ap_int<16>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,wrap,1,ap_int<16>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,16,wrap,2,ap_int<16>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,16,wrap,3,ap_int<16>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,16,wrap,4,ap_int<16>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,16,saturate,0,ap_int<16>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,saturate,1,ap_int<16>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,16,saturate,2,ap_int<16>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,16,saturate,3,ap_int<16>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,16,saturate,4,ap_int<16>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,16,scale,0,ap_int<16>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,16,scale,1,ap_int<16>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,16,scale,2,ap_int<16>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,16,scale,3,ap_int<16>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,16,scale,4,ap_int<16>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,32,wrap,0,ap_int<32>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,wrap,1,ap_int<32>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,32,wrap,2,ap_int<32>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,32,wrap,3,ap_int<32>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,32,wrap,4,ap_int<32>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,32,saturate,0,ap_int<32>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,saturate,1,ap_int<32>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,32,saturate,2,ap_int<32>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,32,saturate,3,ap_int<32>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,32,saturate,4,ap_int<32>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
500,32,scale,0,ap_int<32>,0.999276,0.996,9901.056,2172.02,-0.988,2315.88,100,8,0
500,32,scale,1,ap_int<32>,0.99943,1.0,9997.688,2239.797,-27.812,2228.36,92,8,0
500,32,scale,2,ap_int<32>,0.999754,1.0,10101.224,2172.839,-27.976,2209.922,90,8,0
500,32,scale,3,ap_int<32>,0.998634,0.992,9811.32,2261.342,52.336,2229.262,88,8,0
500,32,scale,4,ap_int<32>,0.999249,0.998,10150.16,2303.54,-53.876,2221.22,84,8,0
2000,1,wrap,0,"sign{-1,+1}",0.881204,0.5065,177.113,98.568,8.302,102.416,174,9,0
